order_id,order_date,customer_id,customer_name,region,product_category,product_name,quantity,unit_price,discount_pct,sales_rep,status
1023,25/02/2024,C0091,,East,Furniture,Ergonomic Chair,2,349,10,Amy Chen,Completed
1024,27th February 2024,C0101,Nexus Retail,West,Furniture,Standing Desk Pro,3,599,0,Daniel Ray,Completed
1025,1st March 2024,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,5,34.99,5,Daniel Ray,Completed
1026,04/03/2024,C0019,Langley Partners,North,Office Supplies,Stapler Pro 200,6,12.99,0,Sarah Mitchell,Completed
1027,06/03/2024,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,7,24.5,0,James Ford,Completed
1028,08/03/2024,C0042,Hartley Supplies Ltd,North,Furniture,Ergonomic Chair,1,349,0,Sarah Mitchell,Completed
1029,11/03/2024,C0078,Ashford Group,East,Office Supplies,Printer Paper A4 (500pk),25,8.75,10,Amy Chen,Completed
1030,13/03/2024,C0101,Nexus Retail,West,Technology,Laptop Stand Adjustable,3,49.99,0,Daniel Ray,Completed
1031,15/03/2024,C0017,Brennan & Co.,South,Office Supplies,Sticky Notes Bulk Pack,20,4.2,0,James Ford,Completed
1032,18/03/2024,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,4,24.5,5,Amy Chen,Completed
1033,20/03/2024,C0055,Pinnacle Media,West,Furniture,Standing Desk Pro,2,599,15,Daniel Ray,Completed
1034,22/03/2024,C0019,Langley Partners,North,Technology,USB Hub 7-Port,3,34.99,0,Sarah Mitchell,Completed
1035,25/03/2024,C0042,Hartley Supplies Ltd,North,Office Supplies,Printer Paper A4 (500pk),8,8.75,0,Sarah Mitchell,Completed
1036,27/03/2024,C0033,Morrison Digital,South,Furniture,Ergonomic Chair,2,349,0,James Ford,Completed
1037,28/03/2024,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,5,49.99,10,Amy Chen,Completed
1038,01/04/2024,C0101,Nexus Retail,West,Office Supplies,Stapler Pro 200,10,12.99,5,Daniel Ray,Completed
1039,03/04/2024,C0017,Brennan & Co.,South,Technology,Wireless Mouse X1,6,24.5,0,James Ford,Completed
1040,05/04/2024,C0055,Pinnacle Media,West,Office Supplies,Printer Paper A4 (500pk),30,8.75,0,Daniel Ray,Completed
1041,08/04/2024,C0042,Hartley Supplies Ltd,North,Furniture,Standing Desk Pro,1,599,10,Sarah Mitchell,Completed
1042,10/04/2024,C0091,Greenfield Corp,East,Technology,USB Hub 7-Port,3,34.99,0,Amy Chen,Completed
1043,12/04/2024,C0019,Langley Partners,North,Office Supplies,Sticky Notes Bulk Pack,12,4.2,0,Sarah Mitchell,Completed
1044,15/04/2024,C0033,Morrison Digital,South,Technology,Laptop Stand Adjustable,2,49.99,5,James Ford,Completed
1045,17/04/2024,C0078,Ashford Group,East,Furniture,Ergonomic Chair,4,349,0,Amy Chen,Completed
1046,19/04/2024,C0101,Nexus Retail,West,Technology,Wireless Mouse X1,15,24.5,15,Daniel Ray,Completed
1047,22/04/2024,C0017,Brennan & Co.,South,Office Supplies,Printer Paper A4 (500pk),5,8.75,0,James Ford,Completed
1048,24/04/2024,C0042,Hartley Supplies Ltd,North,Technology,Laptop Stand Adjustable,3,49.99,0,Sarah Mitchell,Completed
1049,26/04/2024,C0055,Pinnacle Media,West,Furniture,Standing Desk Pro,1,599,0,Daniel Ray,Completed
1050,29/04/2024,C0091,Greenfield Corp,East,Office Supplies,Stapler Pro 200,6,12.99,5,Amy Chen,Completed
1051,02/05/2024,C0019,Langley Partners,North,Technology,Wireless Mouse X1,8,24.5,0,Sarah Mitchell,Completed
1052,05/05/2024,C0033,Morrison Digital,South,Office Supplies,Sticky Notes Bulk Pack,10,4.2,0,James Ford,Completed
1053,07/05/2024,C0078,Ashford Group,East,Technology,USB Hub 7-Port,4,34.99,10,Amy Chen,Completed
1054,09/05/2024,C0101,Nexus Retail,West,Furniture,Ergonomic Chair,2,349,5,Daniel Ray,Completed
1055,12/05/2024,C0042,Hartley Supplies Ltd,North,Technology,Wireless Mouse X1,6,24.5,0,Sarah Mitchell,Completed
1056,14/05/2024,C0017,Brennan & Co.,South,Furniture,Standing Desk Pro,2,599,0,James Ford,Completed
1057,16/05/2024,C0055,Pinnacle Media,West,Technology,Laptop Stand Adjustable,4,49.99,5,Daniel Ray,Completed
1058,19/05/2024,C0091,Greenfield Corp,East,Office Supplies,Printer Paper A4 (500pk),18,8.75,0,Amy Chen,Completed
1059,21/05/2024,C0019,Langley Partners,North,Technology,USB Hub 7-Port,2,34.99,0,Sarah Mitchell,Completed
1060,23/05/2024,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,5,24.5,10,James Ford,Completed
1061,26/05/2024,C0078,Ashford Group,East,Furniture,Ergonomic Chair,3,349,0,Amy Chen,Completed
1062,28/05/2024,C0101,Nexus Retail,West,Office Supplies,Stapler Pro 200,8,12.99,0,Daniel Ray,Completed
1063,30/05/2024,C0042,Hartley Supplies Ltd,North,Office Supplies,Sticky Notes Bulk Pack,10,4.2,5,Sarah Mitchell,Completed
1064,02/06/2024,C0017,Brennan & Co.,South,Technology,Laptop Stand Adjustable,3,49.99,0,James Ford,Completed
1065,04/06/2024,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,6,34.99,0,Daniel Ray,Completed
1066,06/06/2024,C0091,Greenfield Corp,East,Furniture,Standing Desk Pro,1,599,10,Amy Chen,Completed
1067,09/06/2024,C0019,Langley Partners,North,Office Supplies,Printer Paper A4 (500pk),15,8.75,5,Sarah Mitchell,Completed
1068,11/06/2024,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,4,24.5,0,James Ford,Completed
1069,13/06/2024,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,2,49.99,0,Amy Chen,Completed
1070,16/06/2024,C0101,Nexus Retail,West,Furniture,Ergonomic Chair,5,349,5,Daniel Ray,Completed
1071,18/06/2024,C0042,Hartley Supplies Ltd,North,Office Supplies,Stapler Pro 200,4,12.99,0,Sarah Mitchell,Completed
1072,20/06/2024,C0017,Brennan & Co.,South,Technology,USB Hub 7-Port,3,34.99,10,James Ford,Completed
1073,23/06/2024,C0055,Pinnacle Media,West,Office Supplies,Sticky Notes Bulk Pack,20,4.2,0,Daniel Ray,Completed
1074,25/06/2024,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,5,24.5,0,Amy Chen,Completed
1075,27/06/2024,C0019,Langley Partners,North,Furniture,Standing Desk Pro,2,599,15,Sarah Mitchell,Completed
1076,28/06/2024,C0019,Langley Partners,North,Furniture,Standing Desk Pro,2,599,15,Sarah Mitchell,Completed
1077,01/07/2024,C0033,Morrison Digital,South,Technology,Laptop Stand Adjustable,4,49.99,0,James Ford,Completed
1078,03/07/2024,C0078,Ashford Group,East,Office Supplies,Printer Paper A4 (500pk),20,8.75,0,Amy Chen,Completed
1079,05/07/2024,C0101,Nexus Retail,West,Technology,USB Hub 7-Port,7,34.99,5,Daniel Ray,Completed
1080,08/07/2024,C0042,Hartley Supplies Ltd,North,Furniture,Ergonomic Chair,2,349,0,Sarah Mitchell,Completed
1081,10/07/2024,C0017,Brennan & Co.,South,Office Supplies,Stapler Pro 200,3,12.99,0,James Ford,Completed
1082,12/07/2024,C0055,Pinnacle Media,West,Technology,Wireless Mouse X1,9,24.5,10,Daniel Ray,Completed
1083,15/07/2024,C0091,Greenfield Corp,East,Office Supplies,Sticky Notes Bulk Pack,12,4.2,5,Amy Chen,Completed
1084,17/07/2024,C0019,Langley Partners,North,Technology,Laptop Stand Adjustable,5,49.99,0,Sarah Mitchell,Completed
1085,19/07/2024,C0033,Morrison Digital,South,Furniture,Standing Desk Pro,1,599,0,James Ford,Completed
1086,22/07/2024,C0078,Ashford Group,East,Technology,Wireless Mouse X1,6,24.5,0,Amy Chen,Completed
1087,24/07/2024,C0101,Nexus Retail,West,Office Supplies,Printer Paper A4 (500pk),25,8.75,5,Daniel Ray,Completed
1088,26/07/2024,C0042,Hartley Supplies Ltd,North,Technology,USB Hub 7-Port,4,34.99,0,Sarah Mitchell,Completed
1089,29/07/2024,C0017,Brennan & Co.,South,Furniture,Ergonomic Chair,2,349,10,James Ford,Completed
1090,31/07/2024,C0055,Pinnacle Media,West,Technology,Laptop Stand Adjustable,3,49.99,0,Daniel Ray,Completed
1091,02/08/2024,C0091,Greenfield Corp,East,Office Supplies,Stapler Pro 200,5,12.99,0,Amy Chen,Completed
1092,05/08/2024,C0019,Langley Partners,North,Technology,Wireless Mouse X1,7,24.5,5,Sarah Mitchell,Completed
1093,07/08/2024,C0033,Morrison Digital,South,Technology,USB Hub 7-Port,5,34.99,0,James Ford,Completed
1094,09/08/2024,C0078,Ashford Group,East,Furniture,Standing Desk Pro,3,599,0,Amy Chen,Completed
1095,12/08/2024,C0101,Nexus Retail,West,Office Supplies,Sticky Notes Bulk Pack,15,4.2,0,Daniel Ray,Completed
1096,14/08/2024,C0042,Hartley Supplies Ltd,North,Technology,Laptop Stand Adjustable,2,49.99,10,Sarah Mitchell,Completed
1097,16/08/2024,C0017,Brennan & Co.,South,Office Supplies,Printer Paper A4 (500pk),10,8.75,0,James Ford,Completed
1098,19/08/2024,C0055,Pinnacle Media,West,Furniture,Ergonomic Chair,2,349,5,Daniel Ray,Completed
1099,21/08/2024,C0091,Greenfield Corp,East,Technology,Wireless Mouse X1,4,24.5,0,Amy Chen,Completed
1100,23/08/2024,C0019,Langley Partners,North,Office Supplies,Stapler Pro 200,4,12.99,0,Sarah Mitchell,Completed
